Arabic Lemma,Arabic Definition,English Lemma or Gap,English Definition
زيتون مفروم,"هو زيتون تم تقطيعه إلى قطع صغيرة. يمكن أن يستخدم زيتون مفروم في مجموعة متنوعة من الأطباق، مثل السلطات والسندويشات والبيتزا.",GAP,
بذور يانسون,"هي بذور صغيرة سوداء تنتجها نبتة اليانسون. تحتوي بذور اليانسون على طعم حلو ورائحة مميزة. يمكن أن تستخدم بذور اليانسون في مجموعة متنوعة من الأطباق، مثل المخبوزات والحلويات والمشروبات.","anise, aniseed, anise_seed"," liquorice-flavored seeds, used medicinally and in cooking and liquors "
حمص مهروس,"هو نوع من الحمص الذي تم هرسه. يمكن أن يستخدم الحمص المهروس في مجموعة متنوعة من الأطباق، مثل الحمص والفلافل والشوربات واليخنات.",GAP,
بذور قرع,"هي بذور صغيرة خضراء تنتجها نبتة القرع. تحتوي بذور القرع على نسبة عالية من البروتين والألياف. يمكن أن تستخدم بذور القرع في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والوجبات الخفيفة.",GAP,
بذور عباد شمس," هي بذور صغيرة صفراء تنتجها نبتة عباد الشمس. تحتوي بذور عباد الشمس على نسبة عالية من الدهون والبروتين. يمكن أن تستخدم بذور عباد الشمس في مجموعة متنوعة من الأطباق، مثل المخبوزات والحلويات والوجبات الخفيفة.",GAP,
حلبة,"نبات عشبي من فصيلة القرنيات يؤكل أخضر ويعالج به، كما يتخذ من حبه الجاف- بعد غليه- شراب ساخن.","fenugreek, fenugreek_seed", aromatic seeds used as seasoning especially in curry 
بذور شمام,"هي بذور صغيرة بيضاء تنتجها ثمرة الشمام. تحتوي بذور الشمام على نسبة عالية من البروتين والألياف. يمكن أن تستخدم بذور الشمام في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والوجبات الخفيفة.",GAP,
بذور بطيخ,"هي بذور صغيرة سوداء تنتجها ثمرة البطيخ. تحتوي بذور البطيخ على نسبة عالية من البروتين والألياف. يمكن أن تستخدم بذور البطيخ في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والوجبات الخفيفة.",GAP,
كمون,"نبات زراعي عشبي حولي من التوابل أدق من السمسم، أصنافه كثيرة تستخرج منه مشروبات صحية نافعة، وهو منبه للمعدة يزيل سوء الهضم والمغص",Cumin,"a spice made from the dried seeds of the Cuminum cyminum plant, commonly used in cooking for its warm, earthy flavor."
كمون شائع,"هو النوع الأكثر شيوعا من الكمون، ويستخدم في الطهي وصناعة الأدوية.",GAP,
كمون أسود,"هو نوع من الكمون يتميز بلونه الأسود، ويستخدم في صناعة الحلويات.",GAP,
كزبرة بيرجبلية," نبات عشبي بري معمر من الطحالب. يكثر في الأماكن الرطبة الظليلة. وهو من النباتات الصحية، ويستعمل استعمال الشاي، لكنه يحث على النوم.",GAP,
كزبرة ثعلب,"نبات عشبي طبي معمر، وقد يزرع فيؤكل ورقه في السلطة، وله طعم خاص.",GAP,
كمون أبيض,"هو نوع من الكمون يتميز بلونه الأبيض، ويستخدم في صناعة الأدوية.",GAP,
مريمية خضراء,"هي أوراق المريمية الطازجة. تحتوي المريمية الخضراء على طعم مر ورائحة مميزة. تستخدم المريمية الخضراء في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات والحلويات.",GAP,
توابل هتدية,"هي مجموعة من التوابل المستخدمة في المطبخ الهندي. تحتوي توابل هتدية على طعم حار ورائحة مميزة. تستخدم توابل هتدية في مجموعة متنوعة من الأطباق الهندية، مثل الكاري والمشويات واليخنات.",GAP,
فستقية,هي حلوى من الفستق السوداني والسكر أو العسل مضغوط في قالب أو كرة.,peanut_bar, bar of peanuts in taffy 
ملبس ليمون,هو حلوى مصنوعة من الليمون والسكر. تتميز ملبس الليمون بطعمها الحلو والحامض.,GAP,
من والسلوى, هي حلوى مصنوعة من مادة المن الخام (مادة دبقة) التي تجمع من على الأشجار ثم تذاب في الماء المغلي وتصفى للحصول على مادة المن. يتم تصنيعها وحشوها بالجوز واللوز والفستق الحلبي ثم تلاك بالطحين كي لا تلتصق قطع المن والسلوى مع بعضها وتعبأ في علب خشبية للحفاظ عليها من الرطوبة والتعفن,GAP,
جوز بقان,"هو نوع من المكسرات له طعم حلو ومميز. تستخدم جوز البقان في مجموعة متنوعة من الأطباق، مثل الحلويات والمخبوزات والسلطات.",GAP,
قشر جريبفروت مسكر ,هو قشر الجريبفروت الذي تم تقشيره وإزالة اللب منه ثم تم تجفيفه وغطيه بالسكر. يتميز قشر الجريبفروت المسكر بطعمه الحلو والحامض.,GAP,
صحن طعام,"هو وعاء يستخدم لتقديم الطعام. تصنع الأطباق من مجموعة متنوعة من المواد، مثل الخزف أو الزجاج أو السيراميك أو المعدن.",plate, a main course served on a plate 
صحن فواكه,"هو وعاء يستخدم لتقديم الفواكه. تصنع أطباق الفواكه من مجموعة متنوعة من المواد، مثل الخزف أو الزجاج أو السيراميك أو المعدن.",GAP,
لحم خاروف مقلي,هو لحم الخروف الذي تم طهيه عن طريق القلي. يتميز لحم الخروف المقلي بطعمه اللذيذ ورائحته الشهية.,GAP,
جبنه مقلية,هي جبنة تم قليها في الزيت حتى تصبح مقرمشة. تتميز الجبنة المقلية بطعمها اللذيذ ورائحته الشهية.,GAP,
جزر مسلوق,هو جزر تم طهيه عن طريق الغليان في الماء. يتميز الجزر المسلوق بطعمه الحلو وسهولة تناوله.,GAP,
لحم مشوي,هو لحم تم طهيه عن طريق الشوي. يتميز اللحم المشوي بطعمه اللذيذ ورائحته الشهية.,"barbecue, barbeque", meat that has been barbecued or grilled in a highly seasoned sauce 
قطعة بيتزا,هي قطعة من العجين التي يتم حشوها بالصلصة والطماطم والجبنة والخضروات أو اللحوم. تتميز قطعة بيتزا بطعمها اللذيذ ورائحته الشهية.,"pizza, pizza_pie", Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese 
كفتة خاروف,هي كفتة مصنوعة من لحم الخروف المفروم. تتميز الكفتة بخروف بطعمها اللذيذ وسهولة تناولها.,GAP,
سمك محشي,هو طبق يتكون من سمك تم حشو بطنه بالخضروات أو الأرز أو اللحوم. يتميز طبق سمك المحشي بطعمه اللذيذ ورائحته الشهية.,GAP,
ريزتو,هو طبق أرز إيطالي يتم طهيه مع الزبدة أو الزيت والثوم والنبيذ والصلصة. يتميز الريزوتو بطعمه اللذيذ ورائحته الشهية.,"risotto, Italian_rice", rice cooked with broth and sprinkled with grated cheese 
كفتة عجل,هي كفتة مصنوعة من لحم العجل المفروم. تتميز الكفتة بعجل بطعمها اللذيذ وسهولة تناولها.,GAP,
ساندوبتش توست,هو نوع من السندويشات التي تتكون من خبز التوست المحمص. يتميز ساندوتش التوست بطعمه الخفيف وسهولة تناوله.,toast, slices of bread that have been toasted 
سلطة ملفوف أبيض,هي طبق من الملفوف الأبيض المفروم الذي يتم خلطه مع الخل والملح والفلفل الأسود. تتميز سلطة الملفوف الأبيض بطعمها الغني وسهولة تناولها.,GAP,
كفتة حبش,هي كفتة مصنوعة من لحم الحبش المفروم. تتميز الكفتة بحبق بطعمها اللذيذ وسهولة تناولها.,GAP,
سلطة ملفوف أحمر,هي طبق من الملفوف الأحمر المفروم الذي يتم خلطه مع الخل والملح والفلفل الأسود. تتميز سلطة الملفوف الأحمر بطعمها الغني وسهولة تناولها.,GAP,
سلطة خس,هي طبق من الخس المفروم الذي يتم خلطه مع الخضروات الأخرى والمايونيز أو زيت الزيتون أو الخل. تتميز سلطة الخس بطعمها الغني وسهولة تناولها.,GAP,
سلطة رنجة,هي طبق من سمك الرنجة المقطعة التي يتم خلطها مع البصل والطماطم والمايونيز أو زيت الزيتون. تتميز سلطة الرنجة بطعمها المالح ورائحته الشهية.,herring_salad, based on pickled herring 
سلطة بطاطا,هي طبق من البطاطا المسلوقة التي يتم خلطها مع الخضروات والمايونيز أو زيت الزيتون. تتميز سلطة البطاطا بطعمها اللذيذ وسهولة تناولها.,potato_salad, any of various salads having chopped potatoes as the base 
صحن ساندويتش,هو طبق يتكون من قطعة خبز محشوة بالمكونات المختلفة مثل اللحم أو الدجاج أو الجبن أو الخضار. يتميز صحن ساندويتش بطعمه اللذيذ وسهولة تناوله.,sandwich_plate, a serving consisting of a sandwich or sandwiches with garnishes 
سلطة شيف,هي طبق من الخس المقطع الذي يتم خلطه مع الدجاج المشوي أو المسلوق أو اللحم المفروم أو الجمبري أو الروبيان مع صلصة الزبادي أو المايونيز. تتميز سلطة الشيف بطعمها اللذيذ وسهولة تناولها.,GAP,
طبق جمبري مقلي,"طبق شهي يتكون من الجمبري المقلي في الزيت الساخن حتى يصبح لونه ذهبيا ومقرمشا. يمكن تقديم الجمبري المقلي مع مجموعة متنوعة من الصلصات، مثل صلصة الكوكتيل أو صلصة التارتار.",GAP,
طبق سكوبين دجاج," هو طبق إيطالي يتكون من شرائح رقيقة من صدور الدجاج المسطحة والمغطاة بخليط من الدقيق والبقسماط والزبدة المذابة. يتم قلي السكالوبين الدجاج حتى يصبح لونه ذهبيا ومقرمشا، ويمكن تقديمه مع مجموعة متنوعة من الصلصات، مثل صلصة الطماطم أو صلصة الفطر.",GAP,
طبق سكوبين عجل,"هو طبق إيطالي يشبه طبق السكالوبين الدجاج، ولكنه مصنوع من شرائح رقيقة من لحم العجل بدلا من الدجاج. يتم قلي السكالوبين العجل بنفس الطريقة مثل السكالوبين الدجاج، ويمكن تقديمه مع نفس الصلصات.",GAP,
طبق شنيتسل سمك,"هو طبق ألماني يتكون من شرائح رقيقة من السمك المغطى بخليط من الدقيق والبقسماط والزبدة المذابة. يتم قلي الشنيتسل السمك حتى يصبح لونه ذهبيا ومقرمشا، ويمكن تقديمه مع مجموعة متنوعة من الصلصات، مثل صلصة الليمون أو صلصة المايونيز.",GAP,
لفة شاورما,"هي طبق من المطبخ السوري واللبناني يتكون من قطع رقيقة من لحم الدجاج أو العجل أو الحبش المشوية على سيخ، ثم ملفوفة في خبز عربي مع الخس والطماطم والبصل والمايونيز والكاتشب.",GAP,
صحن شاورما دجاج,"هو طبق يتكون من قطع رقيقة من لحم الدجاج المشوية على سيخ، ثم تقدم مع الخس والطماطم والبصل والمايونيز والكاتشب.",GAP,
لفة شاورما عجل,هي نوع من لفة الشاورما التي تستخدم لحم العجل بدلا من لحم الدجاج أو الحبش.,GAP,
ساندويتشة توست تونة,هي ساندويتش بسيط وسهل التحضير تتكون من قطعتين من الخبز المحمص والتونة والمايونيز وأي إضافات أخرى حسب الرغبة. ساندويتشات توست التونة هي خيار سريع وصحي لتناول الغداء أو الإفطار.,GAP,
لفة شاورما دجاج,هي نوع من لفة الشاورما التي تستخدم لحم الدجاج بدلا من لحم العجل أو الحبش.,GAP,
تسليكة, اكل وجبة خفيفة قبل الوجبة الرئيسية,snack_food, food for light meals or for eating between meals 
طعام تسلق,"الطعام الذي يتم تناوله أثناء تسلق الجبال أو ممارسة الأنشطة الخارجية الأخرى. يجب أن يكون طعام التسلق غنيا بالطاقة وسهل الهضم، وأن يحتوي على نسبة عالية من الكربوهيدرات والبروتينات والدهون الصحية.",GAP,
كيك, نوع من المخبوزات يصنع من عجينة خاصة بمقادير معينة من الدقيق والسكر والنشادر ومواد أخرى,cake," baked goods made from or based on a mixture of flour, sugar, eggs, and fat "
طعام تسليكة, مصطلح عام يطلق على الأطعمة التي تستخدم لتسليك الأمعاء أو المعدة. غالبا ما يتم تناول هذه الأطعمة عندما يعاني الشخص من الإمساك أو عسر الهضم.,GAP,
صيادية سمك,"طبق من السمك المشوي أو المقلي مع صلصة الطماطم والفلفل الحلو والبصل. وهي من الأطباق الشعبية في العديد من الدول العربية، بما في ذلك مصر ولبنان وسوريا.",GAP,
سمك مشوي,"طبق من السمك المطبوخ على نار مفتوحة، مثل الشواية أو الفرن. وهو من الأطباق الشعبية في جميع أنحاء العالم، ويمكن تحضيره باستخدام مجموعة متنوعة من الأسماك، بما في ذلك السلمون والتونة والسردين.",GAP,
علبة سمك,"علبة معدنية تحتوي على سمك تم طهيه ومعالجته بطريقة آمنة للاستهلاك. يمكن أن تحتوي علب السمك على مجموعة متنوعة من الأسماك، بما في ذلك السردين والتونة والسالمون.",GAP,
علبة سمك تونة," هي علبة معدنية تحتوي على سمك التونة الذي تم طهيه ومعالجته بطريقة آمنة للاستهلاك. وهي من الأطعمة المعلبة الشعبية، ويمكن استخدامها في مجموعة متنوعة من الوصفات، مثل السلطات والسندويشات واليخنات.",GAP,
جبن طازج,الجبن الذي لم يتم تجفيفه أو تمليحه,GAP,
سمك نيئ,"السمك الذي لم يتم طهيه أو معالجته بأي شكل من الأشكال. يمكن أن يشمل ذلك السمك الذي يتم تناوله مباشرة من الماء، أو السمك الذي يتم تقطيعه إلى شرائح أو شرائح وتقديمه نيئا كجزء من طبق.",GAP,
قوراع,"الاحشاء الداخلية للأبقار أو الخراف ، يتم استخدامها كطعام في فلسطين، سوريا والاردن.",GAP,
فوراغ,"الامعاء للأبقار أو الخراف ، يتم استخدامها كطعام في فلسطين، سوريا والاردن، حيث يتم حشوها بالأرز.",GAP,
لحم طير,"هو لحم الطيور، ويشمل لحم الدجاج والبط والإوز والديك الرومي وغيرها. ",poultry, flesh of chickens or turkeys or ducks or geese raised for food 
لحم فرخة,"لحم الدجاجة، ويتميز بمذاقه الخفيف واللذيذ. يحتوي لحم الفرخة على نسبة عالية من البروتين، ولكنه يحتوي أيضا على نسبة منخفضة من الدهون مقارنة بلحوم الحيوانات الأخرى.",GAP,
دجاج لاحم,"نوع من الدجاج ، تربيته مصممة خصيصا لإنتاج كميات كبيرة من اللحم. يتم تربيتها في ظروف كثيفة، ويتم تغذيتها على نظام غذائي عالي البروتين والطاقة، مما يؤدي إلى نمو سريع وإنتاج فائض من اللحوم.",GAP,
لحم دجاج ديك,"لحم الديك البالغ، ويتميز بمذاقه الغني واللذيذ. يحتوي لحم دجاج الديك على نسبة عالية من البروتين، ولكنه يحتوي أيضا على نسبة عالية من الدهون مقارنة بلحم الدجاج اللاحم.",GAP,
لحم دجاج عتقي,"لحم دجاج عتقي هو لحم دجاج بلدي، يربى في المزارع التقليدية، ويطعم على الأعلاف الطبيعية، مثل الذرة والشعير والقمح. يتميز لحم دجاج عتقي بمذاقه الغني واللذيذ، وانخفاض محتواه من الدهون.",GAP,
لحم بط,"لحم طائر البط، ويتميز بمذاقه الغني واللذيذ، وارتفاع محتواه من الدهون.",duck, flesh of a duck (domestic or wild) 
لحم عصفور,"لحم طيور صغيرة، مثل العصفور أو الزرزور أو الدوري أو الحسون. يتميز لحم العصفور بمذاقه الخفيف واللذيذ، وانخفاض محتواه من الدهون.",GAP,
لحم زغلول,لحم فرخ الحمام الذي لم يتجاوز أربعة أسابيع من عمره. ويسمى أيضا الجوزل وهو فرخ الحمام قبل وبعد نبات ريشه.,"squab, dove", flesh of a pigeon suitable for roasting or braising; flesh of a dove (young squab) may be broiled 
لحم حبش,"لحم طائر الديك الرومي، ويسمى أيضا لحم الدجاج الرومي. يتميز لحم الحبش بمذاقه الغني واللذيذ، وارتفاع محتواه من البروتين.",turkey, flesh of large domesticated fowl usually roasted 
لحم فخدة دجاج,"لحم من الجزء السفلي من الدجاج، ويتكون من العظم واللحم والجلد. يتميز لحم فخدة الدجاج بمذاقه الغني واللذيذ، وانخفاض محتواه من الدهون مقارنة ببعض أنواع اللحوم الأخرى.",GAP,
لحم صدر دجاج,"جزء اللحم الأبيض الخالي من الدهون الموجود في الصدر الأمامي من جسم الدجاج. يتميز لحم صدر الدجاج بمذاقه الخفيف واللذيذ، وانخفاض محتواه من الدهون.",GAP,
لحم خروف صغير,"لحم حيوان الخروف الذي يقل عمره عن 6 أشهر. يتميز لحم خروف صغير بمذاقه الطري واللذيذ، وانخفاض محتواه من الدهون.",lamb, the flesh of a young domestic sheep eaten as food 
قطمة لحم,"قطعة من اللحم، وهي عبارة عن جزء من حيوان ذبح من أجل الغذاء. يمكن أن تكون قطمة اللحم من أي جزء من الحيوان، مثل الصدر أو الفخذ أو الكتف أو الرقبة.",GAP,
لحم رجل عجل,"قطعة لحم من الجزء السفلي من جسم العجل، وتتكون من العظم واللحم والأنسجة الضامة. يتميز لحم رجل العجل بمذاقه الغني واللذيذ، وانخفاض محتواه من الدهون مقارنة ببعض أنواع اللحوم الأخرى.","veal, veau", meat from a calf 
لحم مشروح,"لحم تم تقطيعه إلى شرائح رقيقة، وعادة ما تكون هذه الشرائح متساوية في الحجم والعرض. يتم شرح لحم البقر عادة في اتجاه ألياف العضلات، مما يجعله أكثر طراوة وسهولة في المضغ.",steak, a slice of meat cut from the fleshy part of an animal or large fish 
لحم فخد خروف,"قطعة لحم من الجزء السفلي من جسم الخروف، وتتكون من العظم واللحم والأنسجة الضامة. يتميز لحم فخد الخروف بمذاقه الطري واللذيذ، وانخفاض محتواه من الدهون مقارنة ببعض أنواع اللحوم الأخرى.",GAP,
لحم فرمة,"لحم تم فرمه إلى قطع صغيرة جدا، عادة باستخدام آلة فرم اللحم. يمكن فرم لحم البقر أو الدجاج أو أي نوع آخر من اللحوم.",GAP,
شرحة خاروف,"لحم مشروح من لحم خروف، وهي عبارة عن لحم تم تقطيعه إلى شرائح رقيقة، وعادة ما تكون هذه الشرائح متساوية في الحجم والعرض. يتم شرح لحم الخروف عادة في اتجاه ألياف العضلات، مما يجعله أكثر طراوة وسهولة في المضغ.","lamb_chop, lamb-chop, lambchop", chop cut from a lamb 
صدر خروف,"قطعة لحم كبيرة من الجزء العلوي من جسم الخروف، وتتكون من العظم واللحم والأنسجة الضامة. يتميز صدر الخروف بمذاقه الغني واللذيذ، وانخفاض محتواه من الدهون مقارنة ببعض أنواع اللحوم الأخرى.","breast_of_lamb, poitrine_dagneau", a cut of lamb including the breastbone and attached muscles dressed as meat 
لحم غزال,"لحم حيوان الغزال، وهو حيوان ثديي من فصيلة الظباء.",venison, meat from a deer used as food 
لحم ماعز,"لحم حيوان الماعز، وهو حيوان ثديي من فصيلة الأيل. يعد لحم الماعز مصدرا جيدا للبروتين وانخفاض نسبة الدهون.",Goat meat,"the meat obtained from goats, often known for its distinct taste and lower fat content compared to other meats like beef "
بندورة مجففة,"البندورة الناضجة التي تفقد معظم محتواها من الماء، وذلك بعد قضاء مدة زمنية طويلة لتجفيفها في الشمس.",GAP,
ثمر يقطين,"ثمر نبات اليقطين، وهو نوع من القرع ينتمي إلى عائلة القرعيات. ثمر اليقطين هو ثمرة لحمية كبيرة الحجم، يمكن أن يصل وزنها إلى عدة كيلوغرامات. يتكون ثمر اليقطين من قشرة صلبة ولب داخلي. القشرة عادة ما تكون سميكة وذات لون برتقالي أو أصفر. اللب الداخلي هو الجزء الصالح للأكل، وهو غني بالألياف الغذائية والفيتامينات والمعادن.",GAP,
قطعة بطيخ,"جزء من ثمرة البطيخ، وهي عبارة عن جزء من اللب الداخلي الملون، والذي يتميز بطعمه الحلو ورائحته المميزة.",GAP,
برقوق أحمر,"نوع من البرقوق يتميز بلونه الأحمر. يعرف أيضا باسم ""برقوق سانت روزا"".  تتميز فاكهة البرقوق الأحمر بشكلها البيضاوي، وجلدها الأحمر اللامع، ولبها الحلو.",GAP,
دراق,"ثمرة شجرة الخوخ ، وهي شجرة مثمرة تتبع الفصيلة الوردية. يعرف الدراق أيضا باسم الخوخ في بعض المناطق.",peach, downy juicy fruit with sweet yellowish or whitish flesh 
فاكهة إجاص أخضر,"نوع من فاكهة الإجاص التي تتميز بلونها الأخضر. يعرف الإجاص الأخضر أيضا باسم ""إجاص أنجو""",GAP,
فاكهة برقوق أسود,"نوع من البرقوق يتميز بلونه الأسود. يعرف أيضا باسم ""برقوق الجامون"".  تتميز فاكهة البرقوق الأسود بشكلها البيضاوي، وجلدها الأسود اللامع، ولبها الحلو أو الحامض.",plum, any of numerous varieties of small to medium-sized round or oval fruit having a smooth skin and a single pit 
فاكهة برقوق هجين,ثمرة تم إنشاؤها عن طريق تهجين نوعين مختلفين من البرقوق.,Pluot,"a hybrid fruit that is a cross between a plum and an apricot, known for its sweet flavor and smooth skin."
قراسيا أو قراصيا,"ثمار البرقوق المجففة، وتكون مطولة الشكل، منضغطة قليلا، لونها أزرق ضارب إلى السواد",GAP,
قراصيا,"ثمرة مستديرة أو بيضاوية الشكل صغيرة، وذات لون بني محمر أو بني غامق. تحتوي القراصيا على طعم حلو أو حلو ومر. ",GAP,
دجاج هندي, طائر كبير يعرف بدجاج الحبش أو الدجاج الرومي,GAP,
هندي,نوع من الصبار ثماره تؤكل وهي لذيذة الطعم ويعرف بالتين الشوكي,prickly_pear, round or pear-shaped spiny fruit of any of various prickly pear cacti 
مربى برقوق,"نوع من المربى المصنوع من البرقوق، وهو نوع من الفاكهة يتميز بلونه الأصفر أو الأحمر أو الأسود.",GAP,
مربى تين,"نوع من المربى المصنوع من التين، وهو نوع من الفاكهة يتميز بلونه البني والأرجواني",GAP,
ملفوف أبيض,"نوع من الملفوف، يعرف أيضا باسم الكرنب الأبيض. أوراقه ملونة باللون الأبيض.",GAP,
ملفوف أخضر,"نوع من الملفوف، يعرف أيضا باسم الكرنب. أوراقه ملونة باللون الأخضر الداكن.",GAP,
مربى مشمش,"نوع من المربى المصنوع من المشمش، وهو نوع من الفاكهة يتميز بلونه الأصفر أو البرتقالي.",GAP,
شراب تمر هندي,"مشروب منعش وغني بمضادات الأكسدة، وهو مصنوع من مسحوق التمر الهندي المجفف والماء الساخن، ويمكن إضافة السكر أو العسل حسب الرغبة. يتميز شراب التمر الهندي بنكهة حلوة وحامض قليلا، وهو مشروب شائع في العديد من البلدان حول العالم، وخاصة في البلدان العربية.",GAP,
فاكهة,ما يتلذذ به الناس من ثمار الأشجار كالتفاح والعنب والخوخ ونحوها ,Fruit,"the mature ovary of a flowering plant, usually containing seeds, and typically eaten for its sweet or savory flavor."
نبات خبيزة,"نبات عشبي حولي ينتمي إلى عائلة الخبازيات. يعرف أيضا باسم الخبيزة البرية أو الملوخية البرية، وهو من النباتات الشائعة في العديد من المناطق حول العالم. يتميز نبات الخبيزة بأوراقه الكبيرة البيضاوية الشكل وأزهاره البيضاء الصغيرة. يمكن أن يصل ارتفاع نبات الخبيزة إلى 1.5 متر (5 أقدام).",GAP,
نبات خردل,"نبات عشبي حولي ينتمي إلى عائلة الكرنب. يعرف أيضا باسم الكرنب البري، وهو من الخضروات الشائعة في العديد من المطابخ حول العالم. يتميز نبات الخردل بأوراقه الخضراء الداكنة وزهوره الصفراء الصغيرة. يمكن أن يصل ارتفاع نبات الخردل إلى 1 متر (3 أقدام).","mustard, mustard_greens, leaf_mustard, Indian_mustard", leaves eaten as cooked greens 
كرنب أو ملفوف ألماني,"نبات من عائلة الكرنب، يتميز برأسه الكبير المدور الذي يشبه كرة البيسبول، ويكون لونه إما أخضر فاتح أو أرجواني. ينمو الجزء الصالح للأكل من الكرنب الساقي إما فوق سطح الأرض (الرأس) أو تحته (الجذور).",GAP,
زعتر أخضر,"نوع من الزعتر ينتمي إلى عائلة الشفويات. يتميز بأوراقه الخضراء الصغيرة ورائحته العطرية القوية. ينمو الزعتر الأخضر في المناطق الجبلية والشبه جافة في العديد من أنحاء العالم، بما في ذلك فلسطين",thyme, leaves can be used as seasoning for almost any meat and stews and stuffings and vegetables 
زعتر جاف,نوع من الزعتر يتم تجفيفه بعد حصاده. يتميز بأوراقه الصغيرة البنية ورائحته العطرية القوية.,GAP,
نبتة علق,"نبات عشبي حولي ينتمي إلى عائلة البصل. يعرف أيضا باسم البصل البري أو البصل الرمادي، وهو من النباتات الشائعة في العديد من المناطق حول العالم، بما في ذلك فلسطين. يتميز نبات العلق بأوراقه الخضراء الطويلة وأزهاره البيضاء الصغيرة. يمكن أن يصل ارتفاع نبات العلق إلى 30 سم (12 بوصة).",GAP,
ثمار فقوس,"ثمار نبات القثاء، وهي عبارة عن ثمار بيضاوية الشكل أو مستطيلة الشكل، طولها حوالي 15-25 سم، وعرضها حوالي 5-10 سم. لونها أخضر فاتح أو أصفر، وطعمها حلو أو حامض. تحتوي ثمار الفقوس على نسبة عالية من الماء، بالإضافة إلى بعض الفيتامينات والمعادن، مثل فيتامين C والبوتاسيوم. تنمو ثمار الفقوس على نباتات القثاء، وهي نباتات متسلقة يمكن زراعتها في الهواء الطلق أو في البيوت المحمية.",GAP,
أقحوان,"نبات له زهر أبيض وسطه كتلة صغيرة صفراء، وهو ما نسميه بالبابونج.",Chrysanthemum,"a type of flowering plant known for its bright, colorful blooms, often used in gardens and floral arrangements."
بذور شمر ,"هي بذور صغيرة بنية اللون تنتجها نبتة الشمر. تحتوي بذور الشمر على طعم حار ورائحة مميزة. يمكن أن تستخدم بذور الشمر في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والحلويات.",fennel_seed, aromatic anis-scented seeds 
أرباع حملان أو سبانخ برية,"نوع من النباتات العشبية الحولية التي تتبع الفصيلة القطيفية. تتميز بأوراقها البيضاوية الشكل، وطعمها الحلو أو الحامض، حسب الصنف.",GAP,
هندباء خضراء,"نوع من النباتات العشبية التي تتبع الفصيلة النجمية. تتميز بأوراقها الخضراء الداكنة، وزهورها الصفراء. تنمو الهندباء الخضراء في جميع أنحاء العالم، وهي نبات بري شائع. يمكن تناول الهندباء الخضراء نيئة أو مطبوخة.","Belgian_endive, French_endive, witloof", young broad-leaved endive plant deprived of light to form a narrow whitish head 
بقدونسية,نبات عشبي حولي يتبع الفصيلة الخيمية. يتميز البقدونس بأوراقه الخضراء ذات الرائحة العطرية المميزة.,GAP,
فتوش,طبق من السلطات يتكون من مزيج من البندورة والخيار والخبز المحمص.,GAP,
سلطة عربية, هي طبق من السلطات يتكون من مزيج من البندورة والخيار,GAP,
سلطة يونانية,"طبق سلطة يتكون من مزيج من الطماطم، والخيار، والبصل، والجبن الفيتا، والزيتون الأسود، مع إضافة بعض التوابل، مثل الملح والفلفل الأسود والريحان. ",GAP,
خس كرفس,"نوع من الخضروات الورقية، يعرف أيضا باسم الخس الجذعي أو خص الكرفس أو خص الهليون أو الخس الصيني. وهو نوع من الخس يتم زراعته بشكل رئيسي للحصول على ساقه السميكة، والتي يتم استخدامها كنوعٍ من أنواع الخضار.",celtuce, leaves having celery-like stems eaten raw or cooked 
بصل أبيض,نوع من البصل له قشرة بيضاء ناعمة ولحم أبيض حلو ومقرمش. غالبا ما يستخدم في الحساء واليخنات والسلطات والصلصات. ,GAP,
أرز قصير,"هو الأقصر من بين الثلاثة أنواع، ويتميز بكثافته وطعمه اللذيذ.",GAP,
سمكة أنقليس,"سمكة تؤكل، وهي نوع من السمك العظمي، مستطيلة الشكل تشبه الثعبان، تعيش في المياه المالحة والعذبة، تعرف في سورية ولبنان باسم الحنكليس، وفي مصر بثعبان الماء، وفي العراق بالمرمريج.",eel, the fatty flesh of eel; an elongate fish found in fresh water in Europe and America; large eels are usually smoked or pickled 
بيتزا سوبريم,"هي بيتزا تحتوي على مجموعة متنوعة من المكونات، مثل الطماطم والموزاريلا والجبن والببروني واللحم المقدد والسجق (نقانق) والفلفل الأخضر.",GAP,
بيتزا نباتي,"هي بيتزا لا تحتوي على أي منتجات حيوانية، مثل اللحوم أو الجبن.",GAP,
بيتزا بالجمبري,هي بيتزا تحتوي على الجمبري.,GAP,
بيتزا كالزون,"هي بيتزا محشوة بالجبن أو اللحوم أو الخضار، ثم تخبز أو تقلى.",GAP,
حبة بركة,"عشبٌ حولي أسود من الفصيلة الشقيقية، أوراقه دقيقة التجزؤ، وأزهاره زرق وثماره جرابية بداخلها بذور صغيرة سوداء، تستعمل علاجا، وتضاف أحيانا إلى بعض أصناف الخبز والفطائر لطيب طعمها ورائحتها، ويعتصر منها زيت حبة البركة، ومن أسمائها- الحبة السوداء والحبة المباركة ومنبتها مصر والهند وبلاد حوض البحر المتوسط.",GAP,
