English lemmas,English Definition,Arabic  lemmas or Gap,Arabic Definition
"fettuccine, fettuccini", pasta in flat strips wider than linguine ,طعام فيتوتشيني,"طبق إيطالي تقليدي يتكون من شرائح مستطيلة من المعكرونة تسمى الفيتوتشيني، والتي يتم طهيها في صلصة كريمية بيضاء مغطاة بجبنة بارميزان المبشورة."
fettuccine_alfredo, fettuccine in cream sauce with cheese ,GAP,
"linguine, linguini", pasta in long slender flat strips ,GAP,
macaroni, pasta in the form of slender tubes ,معكرونة,"مكرونة، نوع من الطعام يصنع من دقيق القمح ويشكل بأشكال مختلفة ويجفف، ثم يطهى بكيفيات مختلفة"
manicotti, large pasta tubes stuffed with chopped meat or mild cheese and baked in tomato sauce ,GAP,
mostaccioli, pasta somewhat resembling little moustaches ,GAP,
noodle, a ribbonlike strip of pasta ,معكرونة طويلة,"نوع من المعكرونة التي لها شكل طويل ورفيع. تعد المعكرونة الطويلة من أشهر أنواع المعكرونة في العالم، وتستخدم في مجموعة متنوعة من الأطباق، مثل أطباق الصلصة والأطباق المخبوزة."
penne, pasta in short tubes with diagonally cut ends ,GAP,
orzo, pasta shaped like pearls of barley; frequently prepared with lamb in Greek cuisine ,GAP,
egg_noodle, narrow strip of pasta dough made with eggs ,GAP,
"ravioli, cappelletti", small circular or square cases of dough with savory fillings ,GAP,
rigatoni, tubular pasta in short ribbed pieces ,GAP,
tagliatelle, pasta cut in narrow ribbons ,GAP,
spaghettini, thin spaghetti ,GAP,
tortellini, small ring-shaped stuffed pasta ,GAP,
vermicelli, pasta in strings thinner than spaghetti ,شعيرية,"نوع من المعكرونة المصنوعة من عجينة غير مختمرة في شكل قضبان قصيرة. تصنع الشعيرية عادة من دقيق القمح أو الأرز أو الذرة، ويمكن أن تكون ذات أحجام وأشكال مختلفة."
"produce, green_goods, green_groceries, garden_truck", fresh fruits and vegetable grown for the market ,خضروات,"أجزاء من النباتات الصالحة للأكل، والتي عادة ما تكون أوراقها أو جذورها أو ثمارها أو بذورها. تعد الخضروات من الأطعمة الأساسية في النظام الغذائي الصحي، حيث أنها مصدر جيد للفيتامينات والمعادن والألياف."
ziti, medium-sized tubular pasta in short pieces ,GAP,
edible_fruit, edible reproductive body of a seed plant especially one having sweet flesh ,فواكه,"ثمار نباتية تنمو على الأشجار أو الشجيرات، وتحتوي على بذور مغطاة بطبقة لحمية أو جافة. تتميز الفواكه عادةً بمذاق حلو أو حامض، وتحتوي على نسبة عالية من الماء."
eater, any green goods that are good to eat ,GAP,
"anchovy_pear, river_pear", West Indian fruit resembling the mango; often pickled ,GAP,
"ackee, akee", red pear-shaped tropical fruit with poisonous seeds; flesh is poisonous when unripe or overripe ,GAP,
delicious, variety of sweet eating apples ,تفاح سكري,نوع من التفاح له مذاق حلو. عادة ما يكون التفاح السكري له قشرة ناعمة ولحم أبيض أو أصفر. 
"golden_delicious, yellow_delicious", a sweet eating apple with yellow skin ,تفاح اصفر,"هو نوع من التفاح له قشرة صفراء اللون. عادة ما يكون التفاح الأصفر حلوا، ولكنه يمكن أن يكون حامضا قليلا أيضا. "
red_delicious, a sweet eating apple with bright red skin; most widely grown apple worldwide ,تفاح أحمر,"نوع من التفاح له قشرة حمراء اللون. عادة ما يكون التفاح الأحمر حلوا، ولكنه يمكن أن يكون حامضا قليلا أيضا. "
grimes_golden, yellow apple that ripens in late autumn; eaten raw ,تفاح اصفر,"هو نوع من التفاح له قشرة صفراء اللون. عادة ما يكون التفاح الأصفر حلوا، ولكنه يمكن أن يكون حامضا قليلا أيضا. "
empire, an eating apple that somewhat resembles a McIntosh; used as both an eating and a cooking apple ,تفاح أحمر غامق,نوع من التفاح له قشرة حمراء داكنة اللون. عادة ما يكون التفاح الأحمر الغامق حلوا أو حامضا قليلا.
granny_smith, apple with a green skin and hard tart flesh ,تفاح أخضر,"نوع من التفاح له قشرة خضراء اللون. عادة ما يكون التفاح الأخضر حامضا قليلا، ولكنه يمكن أن يكون حلوا أيضا. "
jonathan, red late-ripening apple; primarily eaten raw ,GAP,
mcintosh, early-ripening apple popular in the northeastern United States; primarily eaten raw but suitable for applesauce ,GAP,
macoun, similar to McIntosh; juicy and late-ripening ,GAP,
pearmain, any of several varieties of apples with red skins ,GAP,
northern_spy, large late-ripening apple with skin striped with yellow and red ,GAP,
pippin, any of numerous superior eating apples with yellow or greenish yellow skin flushed with red ,GAP,
coxs_orange_pippin, a yellow Pippin with distinctive flavor ,GAP,
prima, used primarily as eating apples ,GAP,
stayman, apple grown chiefly in the Shenandoah Valley ,GAP,
stayman_winesap, crisp tart apple; good for eating raw and suitable for cooking ,GAP,
winesap, crisp apple with dark red skin ,GAP,
pond_apple, ovoid yellow fruit with very fragrant peach-colored flesh; related to custard apples ,GAP,
"soursop, guanabana", large spiny tropical fruit with tart pulp related to custard apples ,GAP,
dried_fruit, fruit preserved by drying ,فواكه مجففه,هي فواكه تم تجفيفها عن طريق إزالة الماء منها. تتميز الفواكه المجففة بطعمها الحلو والمكثف.
dried_apricot, apricots preserved by drying ,مشمش مجفف,"ثمرة المشمش التي تم تجفيفها لإزالة معظم محتواها من الماء، مما يؤدي إلى ثمرة جافة ومنكمشة ولكنها غنية بالعناصر الغذائية والسعرات الحرارية"
prune, dried plum ,برقوق مجفف أو خوخ مجفف,"ثمرة الخوخ أو البرقوق التي تم تجفيفها لإزالة معظم محتواها من الماء، مما يؤدي إلى ثمرة جافة ومنكمشة ولكنها غنية بالعناصر الغذائية والسعرات الحرارية."
"sweetsop, annon, sugar_apple", sweet pulpy tropical fruit with thick scaly rind and shiny black seeds ,تفاح سكري,نوع من التفاح له مذاق حلو. عادة ما يكون التفاح السكري له قشرة ناعمة ولحم أبيض أو أصفر. 
raisin, dried grape ,زبيب,"العنب المجفف، ويعرف أيضا باسم الرطب. يصنع الزبيب عن طريق تجفيف العنب في الشمس أو في أجهزة تجفيف الفواكه والخضار."
currant, small dried seedless raisin grown in the Mediterranean region and California; used in cooking ,زبيب طبيخ,"نوع من الزبيب يستخدم في الطهي، ويتميز بلونه الذهبي الفاتح وطعمه الحلو. يصنع زبيب الطبيخ من العنب الأبيض، ويتم تجفيفه بطريقة خاصة تحافظ على لونه وطعمه"
durian, huge fruit native to southeastern Asia `smelling like Hell and tasting like Heaven'; seeds are roasted and eaten like nuts ,GAP,
"feijoa, pineapple_guava", dark-green kiwi-sized tropical fruit with white flesh; used chiefly for jellies and preserves ,GAP,
"seedless_raisin, sultana", dried seedless grape ,GAP,
elderberry, berrylike fruit of an elder used for e.g. wines and jellies ,GAP,
fig, fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried ,تين,"ثمرة صغيرة مستديرة تنتمي إلى عائلة التوت. ينمو التين على أشجار التين، وهي أشجار كثيفة دائمة الخضرة تنمو في المناطق الدافئة حول العالم."
seeded_raisin, seeded grape that has been dried ,GAP,
freestone, fruit (especially peach) whose flesh does not adhere to the pit ,GAP,
garambulla, small berrylike fruit ,GAP,
"genipap, genipap_fruit", a succulent orange-sized tropical fruit with a thick rind ,GAP,
"genip, spanish_lime", round one-inch Caribbean fruit with green leathery skin and sweet juicy translucent pulp; eaten like grapes ,GAP,
winter_melon, the fruit of the winter melon vine; a green melon with pale green to orange flesh that keeps well ,GAP,
"honeydew, honeydew_melon", the fruit of a variety of winter melon vine; a large smooth greenish-white melon with pale green flesh ,شمام كوز العسل,"نوع من الشمام ذو طعم حلو ورائحة عطرية، يُعتبر فاكهة صيفية منعشة."
"casaba, casaba_melon", melon having yellowish rind and whitish flesh ,GAP,
persian_melon, the fruit of a variety of winter melon vine; a large green melon with orange flesh ,GAP,
nectarine, a variety or mutation of the peach that has a smooth skin ,"مندرين، كلمنتينا، مندلينا",فاكهة حمضيات صغيرة ذات قشرة برتقالي زاهٍ ولحم برتقالي حلو. تتميز المندرين بسهولة تقشيرها وفترتها الطويلة من النضارة
watermelon, large oblong or roundish melon with a hard green rind and sweet watery red or occasionally yellowish pulp ,بطيخ,"نوع من الفواكه الصيفية التي تنتمي إلى عائلة القرعيات. يتميز البطيخ بشكله المستدير أو الأسطواني، وجلده الأخضر الداكن، ولبه الأحمر الحلو. "
mombin, purplish tropical fruit ,GAP,
"papaw, pawpaw", fruit with yellow flesh; related to custard apples ,GAP,
papaya, large oval melon-like tropical fruit with yellowish flesh ,GAP,
passion_fruit, egg-shaped tropical fruit of certain passionflower vines; used for sherbets and confectionery and drinks ,باسفلورا,"فاكهة استوائية تُعرف أيضاً باسم ""فاكهة العاطفة""، وتُستخدم في الحلويات والمشروبات."
"bell_apple, sweet_cup, water_lemon, yellow_granadilla", the edible yellow fruit of the Jamaica honeysuckle ,GAP,
granadilla, the egg-shaped edible fruit of tropical American vines related to passionflowers ,GAP,
sweet_calabash, apple-sized passion fruit of the West Indies ,GAP,
pear, sweet juicy gritty-textured fruit available in many varieties ,"فاكهة إجاص ، كمثرى","ثمرة شجرة الإجاص، وهي شجرة مثمرة تتبع الفصيلة الوردية. يعرف الإجاص أيضا باسم الكمثرى في بعض المناطق. تتميز فاكهة الإجاص بشكلها المخروطي، وجلدها الأخضر أو الأصفر، ولبها الحلو أو الحامض."
bosc, greenish-yellow pear ,GAP,
anjou, a pear with firm flesh and a green skin ,GAP,
"bartlett, bartlett_pear", juicy yellow pear ,GAP,
"seckel, seckel_pear", small yellowish- to reddish-brown pear ,GAP,
"pineapple, ananas", large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated ,أناناس,"فاكهة استوائية حلوة وحامضة، وهي واحدة من أكثر الفواكه شعبية في العالم. وهي موطنها الأصلي أمريكا الجنوبية، ولكنها تزرع الآن في جميع أنحاء المناطق الاستوائية وشبه الاستوائية"
pitahaya, highly colored edible fruit of pitahaya cactus having bright red juice; often as large as a peach ,GAP,
plum, any of numerous varieties of small to medium-sized round or oval fruit having a smooth skin and a single pit ,برقوق,"فاكهة تنمو على أشجار البرقوق، وهي أشجار شجرية صغيرة إلى متوسطة الحجم تنمو في المناطق المعتدلة. يتميز البرقوق بطعمه الحلو أو الحامض، كما أنه مصدر جيد للعديد من العناصر الغذائية الهامة،"
"damson, damson_plum", dark purple plum of the damson tree ,فاكهة برقوق أرجواني,"نوع من البرقوق يتميز بلونه الأرجواني. يعرف أيضا باسم ""برقوق أوريغون"".  تتميز فاكهة البرقوق الأرجواني بشكلها البيضاوي، وجلدها الأرجواني اللامع، ولبها الحلو أو الحامض."
beach_plum, small dark purple fruit used especially in jams and pies ,GAP,
"greengage, greengage_plum", sweet green or greenish-yellow variety of plum ,برقوق أخضر أو خوخ أخضر أو لوزي أخضر,"نوع من البرقوق يتميز بلونه الأخضر. يعرف أيضا باسم ""برقوق أنجو"".   تتميز فاكهة البرقوق الأخضر بشكلها البيضاوي، وجلدها الأخضر اللامع، ولبها الحلو أو الحامض."
sloe, small sour dark purple fruit of especially the Allegheny plum bush ,GAP,
victoria_plum, a large red plum served as dessert ,GAP,
plumcot, hybrid between plum and apricot ,GAP,
pomegranate, large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind ,رمان,"فاكهة خريفية غنية بمضادات الأكسدة والعناصر الغذائية الأخرى. تعرف ثمرة الرمان باسم ""حب الملوك"" أو ""رمان كثير البذور"". تتكون الثمرة من قشرة صلبة تحوي بداخلها العديد من البذور الصغيرة، والتي تحيط بها طبقة من اللب الحلو أو الحامض."
"pulasan, pulassan", fruit of an East Indian tree similar to the rambutan but sweeter ,GAP,
prickly_pear, round or pear-shaped spiny fruit of any of various prickly pear cacti ,فاكهة صبار أو تين شوكي,"ثمرة تنمو على نبات الصبار، وهي نوع من النباتات العصارية التي تتحمل الجفاف. تعرف فاكهة صبار أو تين الشوكي باسم ""فاكهة التنين"" أو ""فاكهة الصبر"" أو ""فاكهة التين الهندي"". تحتوي الثمرة على قشرة صلبة مغطاة بأشواك صغيرة، ولب طري حلو أو حامض."
"quandong, quandang, quantong, native_peach", red Australian fruit; used for dessert or in jam ,GAP,
quince, aromatic acid-tasting pear-shaped fruit used in preserves ,سفرجل,"شجر مثمر من الفصيلة الوردية، أزهاره بيضاء، وتطلق الكلمة أيضا على ثمر ذلك الشجر، وهو ثمر يشبه التفاح، رائحته عطرية يكون أخضر قبل نضجه وإذا نضج اصفر."
"rambutan, rambotan", pleasantly acid bright red oval Malayan fruit covered with soft spines ,GAP,
rose_apple, fragrant oval yellowish tropical fruit used in jellies and confections ,GAP,
"sapodilla, sapodilla_plum, sapota", tropical fruit with a rough brownish skin and very sweet brownish pulp ,GAP,
"chicory, curly_endive", crisp spiky leaves with somewhat bitter taste ,هندباء مجعدة,"نوع من الخضروات الورقية، تعرف أيضا باسم الهندباء الحمراء الإيطالية. وهي نبات عشبي حولي يتبع الفصيلة النجمية. يتميز بأوراقه الخضراء الداكنة المجعدة، وذات عروق بيضاء."
radicchio, prized variety of chicory having globose heads of red leaves ,هندباء حمراء,"نوع من الخضار ذات أوراق حمراء، تُستخدم في السلطات وتتميز بطعمها المر."
"belgian_endive, french_endive, witloof", young broad-leaved endive plant deprived of light to form a narrow whitish head ,هندباء بلجيكية,"نوع من الخضروات الورقية، تعرف أيضا باسم الهندباء البيضاء أو هندباء الكرنب. وهي نوع من الهندباء البرية، تم زراعتها منذ قرون في بلجيكا. هي نبات عشبي حولي يتبع الفصيلة النجمية. يتميز برأسه الأبيض الكرنب، وأوراقه الخارجية الخضراء. كما أن لها نكهة مريرة مميزة"
"chicory_escarole, endive, escarole", variety of endive having leaves with irregular frilled edges ,GAP,
watercress, cresses that grow in clear ponds and streams ,GAP,
cress, pungent leaves of any of numerous cruciferous herbs ,GAP,
winter_cress, cress cultivated for winter salads ,GAP,
butterhead_lettuce, lettuce with relatively soft leaves in a loose head; easily broken or bruised ,GAP,
"cos, cos_lettuce, romaine, romaine_lettuce", lettuce with long dark-green leaves in a loosely packed elongated head ,خس روماني,"نوع من أنواع الخس يتميز بأوراقه الطويلة والمقرمشة، التي تكون عادةً خضراء داكنة من الخارج وفاتحة في الداخل. أوراقه أكثر سماكة وقوامًا مقارنة بأنواع الخس الأخرى، وله طعم خفيف ومعتدل. يستخدم كثيرًا في السلطات، مثل سلطة سيزر."
buttercrunch, lettuce with delicate and relatively crunchy leaves ,GAP,
boston_lettuce, lettuce with relatively soft leaves ,GAP,
bibb_lettuce, lettuce with relatively crisp leaves ,GAP,
"crisphead_lettuce, iceberg_lettuce, iceberg", lettuce with crisp tightly packed light-green leaves in a firm head ,GAP,
"leaf_lettuce, loose-leaf_lettuce", lettuce with loosely curled leaves that do not form a compact head ,GAP,
salad_burnet, leaves sometimes used for salad ,GAP,
spinach, dark green leaves; eaten cooked or raw in salads ,سبانخ,"نبات عشبي حولي ينتمي إلى عائلة القطيفية. وهو من الخضروات الورقية الشائعة جدا في جميع أنحاء العالم. يتميز السبانخ بأوراقه الخضراء الداكنة، والتي تحتوي على العديد من العناصر الغذائية الهامة."
"sorrel, common_sorrel", large sour-tasting arrowhead-shaped leaves used in salads and sauces ,حميض أو حميضة,"نبات عشبي حولي يتبع الفصيلة الحميضية. يتميز الحميض بلونه الأخضر الفاتح، وأوراقه التي تشبه شكل الحربة، وطعمه الحامض."
bean_sprout, any of various sprouted beans  especially mung beans or lentils or edible soybeans ,برعم فاصوليا,"البرعم الذي ينمو في نبات الفاصوليا. الفاصوليا هي نبات عشبي حولي من الفصيلة البقولية، ويتميز ببذوره الصغيرة، وأوراقه المركبة."
turnip_greens, tender leaves of young white turnips ,لفت,"نبات من الفصيلة الصليبية، وهو من الخضروات الجذرية التي تؤكل جذورها. يعرف أيضا باسم الشلغم أو الشغلم. يتميز اللفت بلونه الأبيض أو الوردي، وهو من الخضروات الشائعة في العديد من أنحاء العالم، بما في ذلك فلسطين."
wild_spinach, leafy greens collected from the wild and used as a substitute for spinach ,GAP,
"julienne, julienne_vegetable", a vegetable cut into thin strips (usually used as a garnish) ,GAP,
leek, related to onions; white cylindrical bulb and flat dark-green leaves ,كراث,"هو نبات عشبي ينتمي إلى الفصيلة الخيمية. يحتوي الكراث على طعم حار ورائحة مميزة. يستخدم الكراث في مجموعة متنوعة من الأطباق، مثل السلطات والشوربات واليخنات والسندويشات."
common_bean, any of numerous beans eaten either fresh or dried ,فاصولياء,"نوع من البقوليات تُستخدم في تحضير الأطباق المختلفة، غنية بالبروتينات."
"flageolet, haricot", a French bean variety with light-colored seeds; usually dried ,GAP,
fresh_bean, beans eaten before they are ripe as opposed to dried ,فاصولياء طازجة,"نوع من الخضروات التي تنتمي إلى عائلة البقوليات، وتكون طازجة عندما تُحصد حديثًا ولم تُخضع لعمليات تجفيف أو تعليب. تتميز الفاصولياء الطازجة بلونها الأخضر الناصع وقوامها الهش عند القضم، وتُعرف أيضًا باسم الفاصولياء الخضراء"
"haricot_vert, haricots_verts, french_bean", very small and slender green bean ,فاصوليا خضراء,"هي نوع من الفاصوليا الخضراء اللون، وذات شكل ممدود."
"kentucky_wonder, kentucky_wonder_bean", flat-podded green bean ,فاصولياء خضراء مسطحة,"نوع من الفاصولياء الخضراء التي تتميز بشكلها المسطح. وهي تعرف أيضا باسم ""فاصوليا فلفل"" أو ""فاصوليا مسطحة"". تزرع الفاصولياء الخضراء المسطحة في جميع أنحاء العالم، وتتميز بلونها الأخضر الداكن وطعمها الحلو."
"scarlet_runner, scarlet_runner_bean, runner_bean, english_runner_bean", long bean pods usually sliced into half-inch lengths; a favorite in Britain ,GAP,
string_bean, green beans with strings that must be removed ,فاصوليا خضراء,"هي نوع من الفاصوليا الخضراء اللون، وذات شكل ممدود."
"snap_bean, snap", tender green beans without strings that easily snap into sections ,فاصوليا خضراء,"هي نوع من الفاصوليا الخضراء اللون، وذات شكل ممدود."
shell_bean, unripe beans removed from the pod before cooking ,GAP,
fordhooks, relatively large lima beans ,GAP,
"sieva_bean, butter_bean, butterbean, civet_bean", small flat green bean similar to lima beans ,GAP,
pinto_bean, mottled or spotted bean of southwestern United States; usually dried ,GAP,
frijole, Mexican bean; usually dried ,GAP,
turban_squash, large squash shaped somewhat like a turban usually with a rounded central portion protruding from the blossom end ,GAP,
buttercup_squash, drum-shaped squash with dark green rind marked in silver or grey ,GAP,
seafood, edible fish (broadly including freshwater fish) or shellfish or roe etc ,أكل بحري,"الأطعمة التي يتم الحصول عليها من البحار والمحيطات، بما في ذلك الأسماك والقشريات والمحار ومجموعة متنوعة من الكائنات البحرية الأخرى."
winter_crookneck_squash, a squash with a hard rind and an elongated curved neck ,GAP,
"truffle, earthnut", edible subterranean fungus of the genus Tuber ,كمأة,"فطر نادر يُعتبر من الأطعمة الفاخرة، يُستخدم كتوابل لإضفاء نكهة مميزة على الأطباق."
freshwater_fish, flesh of fish from fresh water used as food ,سمك المياه العذبة,"نوع من السمك الذي يعيش في الأنهار والبحيرات، ويختلف في الأنواع والنكهات."
"bream, freshwater_bream", flesh of any of various saltwater fishes of the family Sparidae or the family Bramidae ,سمك الأبراميس,"نوع من الأسماك التي تُعتبر طعاماً شعبياً في بعض المناطق، وتتميز بنكهتها الطيبة."
"brook_trout, speckled_trout", a delicious freshwater food fish ,GAP,
buffalofish, large carp-like North American fish ,GAP,
"freshwater_bass, bass", any of various North American freshwater fish with lean flesh (especially of the genus Micropterus) ,سمك باس,"نوع من الأسماك العظمية، ينتمي إلى فصيلة الباسيات. وهو سمك متوسط الحجم، يمكن أن يصل طوله إلى 50 سم. يتميز سمك الباس بجسم ممدود، ورأس كبير، وفم كبير يحتوي على العديد من الأسنان الصغيرة."
largemouth_bass, flesh of largemouth bass ,GAP,
smallmouth_bass, flesh of smallmouth bass ,GAP,
"catfish, mudcat", flesh of scaleless food fish of the southern United States; often farmed ,GAP,
lake_trout, flesh of large trout of northern lakes ,GAP,
perch, any of numerous fishes of America and Europe ,سمك فرخ,"نوع من الأسماك العظمية، ينتمي إلى فصيلة الفرخيات. وهو سمك متوسط الحجم، يمكن أن يصل طوله إلى 30 سم. يتميز سمك الفرخ بلونه الفضي اللامع، ولحمه الأبيض الطري."
pike, highly valued northern freshwater fish with lean flesh ,سمك كراكي,"نوع من الأسماك العظمية، ينتمي إلى فصيلة الكراكيات. وهو سمك مفترس كبير الحجم، يمكن أن يصل طوله إلى مترين. يتميز سمك الكراكي بلونه الفضي اللامع، ولحمه الأبيض الطري."
muskellunge, flesh of very large North American pike; a game fish ,GAP,
pickerel, flesh of young or small pike ,GAP,
sucker, flesh of any of numerous North American food fishes with toothless jaws ,GAP,
sunfish, the lean flesh of any of numerous American perch-like fishes of the family Centrarchidae ,"سمكة شمس محيط، أو مولا مولا","سمكة عظمية كبيرة الحجم، يمكن أن يصل طولها إلى 3.3 متر ووزنها إلى 2 طن. وهي سمكة بحرية، تعيش في المياه الاستوائية وشبه الاستوائية حول العالم."
"milt, soft_roe", fish sperm or sperm-filled reproductive gland; having a creamy texture ,GAP,
"lake_herring, cisco", cold-water fish caught in Lake Superior and northward ,GAP,
"periwinkle, winkle", small edible marine snail; steamed in wine or baked ,GAP,
octopus, tentacles of octopus prepared as food ,أخطبوط,"حيوان بحري رخوي، ينتمي إلى رتبة الأخطبوطيات، ويتميز برأسه الكبير، وثماني أذرع طويلة، ودم أزرق اللون."
crappie, small sunfishes of the genus Pomoxis of central United States rivers ,سمك شبوط,"نوع من الأسماك العظمية، ينتمي إلى فصيلة الشبوطيات. وهو سمك كبير الحجم، يمكن أن يصل طوله إلى متر واحد. يتميز سمك الشبوط بلونه الفضي اللامع، ولحمه الأبيض الطري."
"prawn, shrimp", any of various edible decapod crustaceans ,"سمك روبيان، الجمبري","مصطلح عام يشير إلى مجموعة متنوعة من الأسماك الصغيرة . تتميز هذه الأسماك بجسمها الطويل والرفيع، والزعانف الظهرية الظهرية، والحراشف الصغيرة."
river_prawn, large Australian prawn ,GAP,
"caviar, caviare", salted roe of sturgeon or other large fish; usually served as an hors d'oeuvre ,كافيار,"بيض السمك غير المخصب، وهو يعتبر من الأطباق الفاخرة والمكلفة. يتم إنتاج الكافيار بشكل أساسي من سمك الحفش، وهو نوع من الأسماك الكبيرة التي تعيش في المياه العذبة والمالحة."
beluga_caviar, roe of beluga sturgeon usually from Russia; highly valued ,GAP,
"roe, hard_roe", fish eggs or egg-filled ovary; having a grainy texture ,GAP,
coral, unfertilized lobster roe; reddens in cooking; used as garnish or to color sauces ,GAP,
saltwater_fish, flesh of fish from the sea used as food ,أسماك بحرية,"الحيوانات الفقارية التي تعيش في المياه المالحة، وتتميز بوجود الخياشيم التي تسمح لها بالتنفس في الماء."
shad_roe, roe of shad; may be parboiled or baked or sauteed gently ,GAP,
fugu, a blowfish highly prized as a delicacy in Japan but highly dangerous because the skin and organs are poisonous ,GAP,
"blowfish, sea_squab, puffer, pufferfish", delicacy that is highly dangerous because of a potent nerve poison in ovaries and liver ,سمك ينفوخية,"تدعى أيضا السمكة المنتفخة أو الفوغو هي واحدة من أغرب وأخطر الكائنات البحرية. تشتهر بقدرتها على نفخ جسمها مثل البالون عند الشعور بالخطر، كما تشتهر بسميتها العالية التي تجعلها من أخطر الأطعمة البحرية في العالم إذا لم يتم تحضيرها بطريقة صحيحة."
fritter_batter, batter for making fritters ,GAP,
pancake_batter, batter for making pancakes ,"بان كيك ، كعكة المقلاة","نوع من الفطائر المسطحة، الدائرية، والرقيقة، التي تُطهى على مقلاة ساخنة أو صينية. تُعد البان كيك من أشهر أنواع الفطور في العديد من الثقافات حول العالم، وهي معروفة بملمسها الرقيق وطعمها اللذيذ."
dough, a flour mixture stiff enough to knead or roll ,عجين,هو خليط من الدقيق والماء والملح والخميرة أو أي مكونات أخرى. يمكن استخدام العجين لصنع الخبز والمعكرونة والكعك والفطائر وغيرها من الأطعمة.
bread_dough, any of various doughs for bread ,عجينة خبز,خليط يصنع من الحبوب أو المحاصيل البقولية تستخدم في صناعة الخبز.
"danish, danish_pastry", light sweet yeast-raised roll usually filled with fruits or cheese ,GAP,
"puff_batter, pouf_paste, pate_a_choux", batter for making light hollow cases to hold various fillings ,GAP,
"honey_bun, sticky_bun, caramel_bun, schnecken", rolled dough spread with sugar and nuts then sliced and baked in muffin tins with honey or sugar and butter in the bottom ,GAP,
pinwheel_roll, pinwheel-shaped rolls spread with cinnamon and sugar and filled with e.g. jam before baking ,GAP,
carrot_stick, a stick of carrot eaten raw ,شرائح جزر,قطع من الجزر مقطعة إلى شرائح رفيعة أو سميكة حسب الاستخدام. 
celery_stick, celery stalks cut into small sticks ,كرفس,"نبات عشبي حولي. يعرف أيضا باسم الكرفس الجذري أو الكرفس الأخضر، وهو من الخضروات الشائعة في العديد من المطابخ حول العالم."
pigs_in_blankets, small frankfurters wrapped in biscuit dough and baked ,GAP,
rollmops, a pickled herring filet that has been rolled or wrapped around a pickle ,GAP,
stuffed_mushroom, mushrooms stuffed with any of numerous mixtures of e.g. meats or nuts or seafood or spinach ,GAP,
"candied_apple, candy_apple, taffy_apple, caramel_apple, toffee_apple", an apple that is covered with a candy-like substance (usually caramelized sugar) ,GAP,
lozenge, a small aromatic or medicated candy ,GAP,
"lollipop, sucker, all-day_sucker", hard candy on a stick ,مصاصة,هي حلوى مصنوعة من السكر أو العسل أو المحليات الأخرى. تتميز المصاصي بطعمها الحلو والشكل الطويل.
cachou, a scented lozenge used to sweeten the breath (e.g. to conceal the odor of tobacco) ,GAP,
"cough_drop, troche, pastille, pastil", a medicated lozenge used to soothe the throat ,GAP,
sauerbraten, pot roast marinated several days in seasoned vinegar before cooking; usually served with potato dumplings ,GAP,
marshmallow, spongy confection made of gelatin and sugar and corn syrup and dusted with powdered sugar ,مارشميلو,هي حلوى مصنوعة من السكر والماء والصمغ العربي. تتميز المارشميلو بطعمها الحلو والطري.
sauerkraut, shredded cabbage fermented in brine ,ملفوف مخلل,نوع من الأطعمة المخمرة يتكون من الملفوف الذي يتم تخليله باستخدام الملح وأحيانًا مكونات أخرى مثل التوابل أو الخل.
"scallopine, scallopini", sauteed cutlets (usually veal or poultry) that have been pounded thin and coated with flour ,GAP,
"stuffed_tomato, cold_stuffed_tomato", tomato cases filled with various mixtures and baked briefly ,طماطم محشوة,طماطم يتم إفراغها من لبها وحشوها بمكونات متنوعة مثل الأرز أو اللحم.
"stuffed_tomato, hot_stuffed_tomato", tomato cases filled with various mixtures and baked briefly ,طماطم محشوة,طماطم يتم إفراغها من لبها وحشوها بمكونات متنوعة مثل الأرز أو اللحم.
sukiyaki, thin beef strips (or chicken or pork) cooked briefly at the table with onions and greens and soy sauce ,GAP,
succotash, fresh corn and lima beans with butter or cream ,GAP,
swiss_steak, steak braised in tomato and onion mixture ,GAP,
"seder, passover_supper", (Judaism) the ceremonial dinner on the first night (or both nights) of Passover ,GAP,
"cherrystone, cherrystone_clam", small quahog larger than a littleneck; eaten raw or cooked as in e.g. clams casino ,GAP,
"quahaug, quahog, hard-shell_clam, round_clam", Atlantic coast round clams with hard shells; large clams usually used for chowders or other clam dishes ,GAP,
"littleneck, littleneck_clam", a quahog when young and small; usually eaten raw; an important food popular in New York ,GAP,
"soft-shell_clam, steamer, steamer_clam, long-neck_clam", a clam that is usually steamed in the shell ,GAP,
"crab, crabmeat", the edible flesh of any of various crabs ,سلطعون,"نوع من القشريات،  تتميز السلطعونات بزوج من المخالب الطويلة وزوج من الأرجل القصيرة. تعيش السلطعونات في مجموعة متنوعة من الموائل، بما في ذلك المياه المالحة والمياه العذبة والأراضي الرطبة."
"alaska_king_crab, alaskan_king_crab, king_crab, alaska_crab", meat of large cold-water crab; mainly leg meat ,GAP,
"wax_bean, yellow_bean", snap beans with yellow pods ,فاصوليا صفراء,"نوع من البقوليات التي تتميز بلونها الأصفر. وهي تعرف أيضا باسم ""فاصوليا السكر"" أو ""فاصوليا لينتس"". تزرع الفاصوليا الصفراء في جميع أنحاء العالم، وتتميز بمذاقها الحلو والكريمي."
