Lemma,Gloss,Indonesian lemmas (or gap),Indonesian Gloss
"cry, weep","shed tears because of sadness, rage, or pain",tangis,"melahirkan perasaan sedih (kecewa, menyesal, dsb) dng mencucurkan air mata serta mengeluarkan suara (tersedu-sedu, menjerit-jerit)"
kill,"cause the death of, without intention",bunuh,menjadikan meninggal tanpa sengaja
"convey, impart","make known; pass on, of information",sampaikan,memberikan informasi
"show, show up",be or become visible or noticeable,terlihat,menjadi dapat dilihat
sing,produce tones with the voice,nyanyi,mengeluarkan bunyi-bunyian dengan suara
"sew, run up, sew together, stitch",fasten by sewing; do needlework,jahit,
"hide, conceal",prevent from being seen or discovered,sembunyi,menyimpan (menutup dsb) supaya jangan (tidak) terlihat
"tire, wear upon, tire out, wear, weary, jade, wear out, outwear, wear down, fag out, fag, fatigue",exhaust or get tired through overuse or great strain or stress,lelah,menjadi lelah karena melakukan sesuatu
"glue, paste",join or attach with or as if with glue,lem,melekatkan dng lem (perekat)
cover,provide with a covering or cause to be covered,tutup,memberi bertutup (dng) menudungi
"deceive, lead on, delude, cozen",be false to; be dishonest with,tipu,mengenakan tipu muslihat; mengakali; memperdayakan
ail,"be unwell, ill, or ill disposed",rana,menjadi sakit
watch,look attentively,tonton,"melihat (pertunjukan, gambar hidup, dsb)"
"count, number, enumerate, numerate",determine the number or amount of,hitung,"mencari jumlahnya (sisanya, pendapatannya) dng menjumlahkan, mengurangi, dsb"
"sicken, come down",get sick,sakit,menjadi sakit
"flash, blink, wink, twinkle, winkle",gleam or glow intermittently,kilat,gilap; berkilap; bercahaya berkilauan
"govern, rule",exercise authority over; as of nations,pimpin,
"close, shut",move so that an opening or passage is obstructed; make shut,tutup,"menjadikan tidak terbuka (spt mengatupkan, mengunci, merapatkan)"
"open, open up",cause to open or to become open,buka,menjadikan tidak tertutup atau tidak bertutup
"tell, narrate, recount, recite",narrate or give a detailed account of,cerita,menyampaikan sebuah kejadian
"recuperate, recover, convalesce",get over an illness or shock,pulih,
"interrupt, disturb",destroy the peace or tranquility of,ganggu,menjadikan tidak damai
"hark back, return, come back, recall",go back to something earlier,kembali,balik ke tempat atau keadaan semula
"translate, interpret, render",restate (words) from one language into another language,terjemah,menyalin (memindahkan) suatu bahasa ke bahasa lain
"connect, link, tie, link up","connect, fasten, or put together two or more pieces",sambung,menghubungkan kembali sesuatu yg tidak tersambung
listen,hear with intention,dengar,mendengar dengan maksud
hear,perceive  (sound) via the auditory sense,dengar,menangkap suara (bunyi) dng telinga
"talk, speak",exchange thoughts; talk with,bicara; cakap,bertukar pemikiran
"speak, talk",use language,bicara,menggunakan bahasa
"make noise, resound, noise",emit a noise,bersuara,mengeluarkan suara
"affect, impress, move, strike",have an emotional or cognitive impact upon,terkesan,memperoleh kesan (sesudah melihat)
be,"have the quality of being; (copula, used with an adjective or a predicate noun)",GAP,
paint,apply paint to; coat with paint,mengecat,mewarnai dng cat
"end, stop, finish, terminate, cease","have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical",berakhir; berhenti,berakhir; selesai; tamat
"disturb, upset, trouble",move deeply,mengesalkan,membangkitkan rasa kesal
"ring, peal",sound loudly and sonorously,berdering,berbunyi sbg bunyi giring-giring
chime,emit a sound,kerincing,bunyi berdencing-dencing
rustle,make a dry crackling sound,berkerisik,"berbunyi ""kerisik, kerisik"""
love,be enamored or in love with,cinta,kasih sekali; terpikat
"be, live","have life, be alive",hidup,"masih terus ada, bergerak, dan bekerja sebagaimana mestinya (tt manusia, binatang, tumbuhan, dsb)"
like,find enjoyable or agreeable,suka,senang; gemar
"tinkle, tink, clink, chink",make or emit a high sound,berdenting,mengeluarkan suara denting
kick,strike with the foot,tendang,menyepak; mendepak (dng kaki)
"fear, dread",be afraid or scared of; be frightened of,takut,merasa gentar (ngeri) menghadapi sesuatu
fear,be afraid or feel anxious or apprehensive about a possible or probable situation or event,takut,merasa gentar (ngeri) menghadapi sesuatu
"change, alter, vary","make or become different in some particular way, without permanently losing one's or its former characteristics or essence",ubah,menjadikan lain dr semula
"change, alter, modify",cause to change; make different; cause a transformation,ubah,menjadikan berbeda
"recognize, recognise, distinguish, discern, pick out, make out, tell apart",detect with the senses,GAP,
"taste, savor, savour",have flavor; taste of something,rasa,
"annoy, rag, get to, bother, get at, irritate, rile, nark, nettle, gravel, vex, chafe, devil","cause annoyance in; disturb, especially by minor irritations",ganggu; usik,
write,communicate or express by writing,tulis,"membuat huruf (angka dsb) dng pena (pensil, kapur"
"gather, garner, collect, pull together",assemble or get together,kumpul,membawa sesuatu banyak-banyak untuk membuatnya berkumpul
give,transfer possession of something concrete or abstract to somebody,beri; kasih,menyerahkan; membagikan; menyampaikan sesuatu
"keep, hold on",retain possession of,simpan,menjaga kepemilikan
"own, have, possess",have ownership or possession of,punya; milik,
turn out,prove to be in the result or end,ternyata,sudah nyata; ada buktinya; terbukti
"buy, purchase",obtain by purchase; acquire by means of a financial transaction,beli,memperoleh sesuatu dng menukarnya dng uang (membayar)
"become, go, get",enter or assume a certain state or condition,menjadi,
wait,stay in one place and anticipate or expect something,tunggu,menantikan (sesuatu yg mesti datang atau terjadi)
"fail, betray","disappoint, prove undependable to; abandon, forsake",gagal,tidak berhasil; tidak tercapai
"decrease, diminish, lessen, fall","decrease in size, extent, or range",kurang,mengambil (memotong) sebagian
"receive, have",get something; come into possession of,terima,mendapat (memperoleh) sesuatu
"get, acquire",come into the possession of something concrete or abstract,dapat,beroleh; memperoleh
shake,bring to a specified condition by or as if by shaking,goyang; kocok,bergerak berayun-ayun
"wipe, pass over",rub with a circular motion,usap,"menghapus; menyeka; menyapu (keringat, air mata, dsb)"
increase,become bigger or greater in amount,tambah,"menjadikan (membubuhkan dsb) supaya lebih banyak (besar, hebat, dsb)"
sweep,clean by sweeping,sapu,membersihkan dng sapu
"sweep, broom",sweep with a broom or as if with a broom,sapu,membersihkan dng sapu
beat,hit repeatedly,GAP,
"allege, aver, say",report or maintain,berkata,
"dwell, live, inhabit",inhabit or live in,tinggal,berdiam di
herd,"keep, move, or drive animals",gembala,menjaga dan memiara binatang (terutama ketika binatang-binatang itu sedang di padang rumput dsb)
"pass, hand, reach, pass on, turn over, give",place into the hands or custody of,oper; beri,memindahkan
"wish, wish well",feel or express a desire or hope concerning the future or fortune of,harap,keinginan supaya sesuatu terjadi
"name, call",assign a specified (usually proper) proper name to,nama; panggil,"memberi nama (julukan, sebutan)"
"desire, want",feel or have a desire for; want strongly,mau,sungguh-sungguh suka hendak
"mail, post, send",cause to be directed or transmitted to another place,kirim; surat,menyampaikan dng perantara
knock,rap with the knuckles,ketok; ketuk,"memukul sesuatu dng buku jari, martil, dsb"
sell,exchange or deliver for money or its equivalent,jual,
add,"make an addition  (to); join or combine or unite with others; increase the quality, quantity, size or scope of",tambah,"menjadikan (membubuhkan dsb) supaya lebih banyak (besar, hebat, dsb)"
"chew the fat, shoot the breeze, chat, confabulate, confab, chitchat, chatter, chaffer, natter, gossip, jaw, claver, visit",talk socially without exchanging too much information,gosip,menggunjingkan orang lain; mendesas-desuskan
"travel, go, move, locomote","change location; move, travel, or proceed",pergi,
understand,know and comprehend the nature or meaning of,paham,
whistle,utter or express by whistling,siul,mengeluarkan tiruan bunyi suling (dng mulut)
"understand, read, interpret, translate",make sense of a language,mengerti,memahami suatu bahasa
pay,"give money, usually in exchange for goods or services",bayar,"memberikan uang, mslnya untuk pengganti harga barang"
"groan, moan, sough","indicate pain, discomfort, or displeasure",erang; keluh; rintih,mengeluarkan suara karena keadaan tidak nyaman
"know, cognize, cognise",be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,tahu,"mengerti sesudah melihat (menyaksikan, mengalami, dsb)"
"roar, howl","make a loud noise, as of wind, water, or vehicles",raung,berbunyi nyaring dan panjang
"discontinue, stop, cease, give up, quit, lay off",put an end to a state or an activity,henti,tidak meneruskan lagi
"pay, pay off, make up, compensate",do or give something to somebody in return,bayar,"memberikan uang, mslnya untuk pengganti harga barang"
thunder,to make or produce a loud noise,gelegar,berbunyi gemuruh
"howl, wrawl, yammer, yowl","cry loudly, as of animals",raung,berbunyi nyaring dan panjang
"learn, larn, acquire",gain knowledge or skills,belajar,"memperoleh ilmu pengetahuan (kepandaian, keterampilan)"
bark,make barking sounds,gonggong,menyalak
milk,take milk from female mammals,perah,
"run, go, pass, lead, extend","stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point",GAP,
"go, go away, depart",move away from a place into another direction,pergi; berangkat,"mulai berjalan (pergi, bepergian)"
"kiss, buss, osculate","touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.",cium,"melekatkan hidung pd sesuatu (spt pipi, tangan, kening) serta menghirupnya"
"lick, lap",pass the tongue over,jilat,
donate,give to a charity or good cause,sumbang,memberikan sesuatu sbg bantuan
"remember, retrieve, recall, call back, call up, recollect, think",recall knowledge from memory; have a recollection,ingat,ingat (akan)
"forget, block, blank out, draw a blank",be unable to remember,lupa,tidak ingat lagi; tidak ada dl pikiran (ingatan) lagi
"catch, grab, take hold of",take hold of so as to seize or restrain or stop the motion of,tangkap,"memegang (sesuatu yg bergerak cepat, lepas, dsb)"
"stop, halt","come to a halt, stop moving",henti,"tidak bergerak (berjalan, bekerja, dsb) lagi"
"better, improve, amend, ameliorate, meliorate",to make better,memperbaiki,"menjadikan lebih baik (bagus, rapi, dan sebagainya)"
leave,"go and leave behind, either intentionally or by neglect or forgetfulness",tinggal,pergi dr; menghindar dr
"decay, crumble, delapidate",fall into decay or ruin,rusak,menjadi tidak bagus
"decompose, rot, molder, moulder",break down,membusuk,menjadi busuk
"bite, seize with teeth","to grip, cut off, or tear with or as if with the teeth or jaws",gigit,"menjepit, menangkap, atau merobek dng gigi"
press,exert pressure or force to or upon,tekan,menindih (mendesak) kuat-kuat
"pull, draw, force",cause to move by pulling,tarik,membawa (mengambil dsb) ke luar
"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body",bawa,memegang atau mengangkat barang sambil berjalan atau bergerak dr satu tempat ke tempat lain
"pluck, plunk, pick",pull lightly but sharply with a plucking motion,petik,
"push, force",move with force,dorong,menyorong; menolak dr belakang ke depan
"lug, tote, tug",carry with difficulty,seret,"menghela, menarik maju"
read,interpret something that is written or printed,baca,melihat serta memahami isi dr apa yg tertulis (dng melisankan atau hanya dl hati)
"conserve, preserve, maintain, keep up","keep in safety and protect from harm, decay, loss, or destruction",jaga,
"dry, dry out",become dry or drier,kering,menjadikan kering
"rock, sway, shake",move back and forth  or sideways,ayun,berayun; bergoyang; berbuai-buai
"think, cogitate, cerebrate","use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments",pikir,
"rock, sway",cause to move back and forth,ayun,berayun; bergoyang; berbuai-buai
"find, regain",come upon after searching; find the location of something that was missed or lost,temu,mendapatkan sesuatu yg belum ada sebelumnya
"walk, take the air",take a walk; go for a walk; walk for pleasure,jalan,
"calculate, cipher, cypher, compute, work out, reckon, figure",make a mathematical calculation or computation,hitung,"membilang (menjumlahkan, mengurangi, membagi, memperbanyakkan, dsb)"
"crawl, creep",move slowly; in the case of people or animals with the body near the ground,rangkak,bergerak maju dng bertumpu pd tangan dan lutut
grow,increase in size by natural process,tumbuh,bertambah besar dengan proses alami
tremble,move or jerk quickly and involuntarily up and down or sideways,getar,bergerak berulang-ulang dng cepat
"shudder, shiver, throb, thrill","tremble convulsively, as from fear or excitement",gigil,"gemetar krn kedinginan, demam, ketakutan (tt sikap tubuh atau suara)"
"measure, mensurate, measure out","determine the measurements of something or somebody, take measurements of",ukur,"menghitung panjang, besar, luas, tinggi, dsb dng alat tertentu"
"stir, shift, budge, agitate",move very slightly,geser,beringsut; beralih sedikit
"stay, stay on, continue, remain","continue in a place, position, or situation",tetap,tidak berpindah-pindah; tidak beranjak
"capture, catch","capture as if by hunting, snaring, or trapping",tangkap,"memegang (sesuatu yg bergerak cepat, lepas, dsb); memegang (binatang, pencuri, penjahat, dsb) dng tangan atau alat"
"hang, hang up",cause to be hanging or suspended,gantung; sangkut; kait,menjadikan tergantung
hang,be suspended or hanging,gantung,dalam keadaan tergantung
win,be the winner in a contest or competition; be victorious,menang,menyebabkan (menjadikan) menang
"ripen, mature",cause to ripen or develop fully,matang; masak,"sudah tua dan sampai waktunya untuk dipetik, dimakan, dsb (tt buahbuahan)"
walk,use one's feet to advance; advance by steps,jalan,
turn,"change orientation or direction, also in the abstract sense",belok,
"digest, endure, stick out, stomach, bear, stand, tolerate, support, brook, abide, suffer, put up",put up with something or somebody unpleasant,tahan,bertahan melalui sesuatu yang tidak nyaman
"put, set, place, pose, position, lay",put into a certain place or abstract location,taruh,meletakkan; menempatkan
steal,take without the owner's consent,curi,mengambil milik orang lain tanpa izin
damage,inflict damage upon,rusak,bersifat dsb yg menjadikan rusak
"choose, take, select, pick out","pick out, select, or choose from a number of alternatives",pilih,
"repair, mend, fix, bushel, doctor, furbish up, restore, touch on",restore by replacing a part or putting together what is torn or broken,perbaiki,"membetulkan (kesalahan, kerusakan, dsb)"
"misplace, mislay, lose",place (something) where one cannot find it again,hilang,
believe,accept as true; take to be true,percaya,
"climb, climb up, mount, go up",go upward with gradual or continuous progress,panjat,
"rain, rain down",precipitate as rain,hujan,dalam kondisi hujan
run,"move fast by using one's feet, with one foot off the ground at any given time",lari,berjalan kencang
"ignite, light",cause to start burning; subject to fire or great heat,nyala,menjadikan mulai menyala atau terbakar
"flip, toss, sky, pitch",throw or toss with a light motion,lempar; tos,buang jauh-jauh
step,shift or move by taking a step,langkah,mengayunkan (menggerakkan) kaki (pd waktu berjalan dsb)
"drive, motor",travel or be transported in a vehicle,setir,
"shine, beam","emit light; be bright, as of the sun or a light",sinari,memancarkan cahaya kpd; menerangi dng cahaya
protect,"shield from danger, injury, destruction, or damage",lindungi,menyelamatkan (memberi pertolongan dsb) supaya bebas dr mara bahaya
"reflect, shine",be bright by reflecting or casting light,memantulkan,
"defend, guard, hold",protect against a challenge or attack,tahan,tetap pd tempatnya (kedudukannya dsb)
"fume, smoke",emit a cloud of fine particles,berasap,mengeluarkan asap; ada asapnya
dye,color with dye,warnai,memberi berwarna; mengecat dsb
blow,be blowing or storming,bertiup; berembus,"bergerak mengalir dng cepat (tt angin, udara)"
"wind, wrap, roll, twine",wrap or coil around,gulung,"membelit-belit benang, tali, atau benda tipis lainnya pd gelendong atau kumparan"
"fly, wing",travel through the air; be airborne,terbang,bergerak atau melayang di udara dng tenaga sayap (tt burung dsb) atau dng tenaga mesin (tt pesawat terbang dsb)
"shoot, hit, pip",hit with a missile from a weapon,tembak,"melepaskan peluru dsb dr senjata api (senapan, meriam, dsb)"
"lodge, wedge, stick, deposit","fix, force, or implant",sangkut,
fish,catch or try to catch fish or shellfish,pancing,
row,propel with oars,dayung,merengkuh dayung; mengayuh
"clean, make clean","make clean by removing dirt, filth, or unwanted substances from",bersihkan,"membuat supaya bersih (dng jalan mencuci, menyapu, menggosok, dsb)"
"hunt, run, hunt down, track down",pursue for food or sport (as of wild animals),buru,mengejar atau mencari binatang dl hutan dsb
water,provide with water,mengairi,mengaliri atau memberi air
"wash, launder","cleanse with a cleaning agent, such as soap, and water",cuci,membersihkan sesuatu dng air atau barang cair
"expect, look, await, wait",look forward to the probable occurrence of,menanti,
stir,mix or add by stirring,aduk,mencampur dan mengacu
"seat, sit, sit down",show to a seat; assign a seat for,mendudukkan,meletakkan duduk
swim,travel through water,renang,"menggerakkan badan melintas di air (mengapung, menyelam) dng menggunakan kaki, tangan, sirip, ekor, dsb"
"stand, stand up",be standing; be upright,berdiri,tegak bertumpu pd kaki (tidak duduk atau berbaring)
lie,"be lying, be prostrate; be in a horizontal position",berbaring,meletakkan badan dng punggung atau sisi badan di sebelah bawah
dive,swim under water,selam,(perihal) masuk ke dl air
"jump, leap, bound, spring",move forward by leaps and bounds,lompat; loncat,"bergerak meloncat ke depan (ke bawah, ke atas) dng cepat"
cut,separate with or as if with an instrument,potong,
"rise, lift, arise, move up, go up, come up, uprise",move upward,naik,bergerak dr bawah ke atas
"set, go down, go under",disappear beyond the horizon,terbenam,masuk; tenggelam (tt matahari)
eat,take in solid food,makan,"memasukkan sesuatu (nasi dsb) ke dl mulut, kemudian mengunyah dan menelannya"
fall,descend in free fall under the influence of gravity,jatuh,
"drink, imbibe",take in liquids,minum,memasukkan air (atau benda cair) ke dl mulut dan meneguknya
"raise, lift, elevate, get up, bring up",raise from a lower to a higher position,naik; angkat,bergerak dr bawah ke atas
saw,cut with a saw,gergaji,memotong dsb dng gergaji
"invite, ask over, ask round",invite someone to one's house,undang,"memanggil supaya datang; mempersilakan hadir (dl rapat, perjamuan, dsb)"
"tumble, topple","fall down, as if collapsing",roboh,"runtuh (tt barang yg besar-besar spt rumah, tembok)"
drop,to fall vertically,jatuh,
drop,let fall to the ground,jatuh,
fry,cook on a hot surface using fat,goreng; masak,memasak kering-kering di wajan (kuali) dng minyak
"destroy, ruin",destroy completely; damage irreparably,hancur; rusak,bersifat dsb yg menjadikan rusak
